chunk_id,source,text,citation_label,citation_url,age_group,fitness_factors,grade
criteria:012-유소년-M,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 유소년 남자: 11~11세 1등급 11.5cm, 2등급 7.8cm, 3등급 4.0cm / 12~12세 1등급 12.0cm, 2등급 7.9cm, 3등급 4.0cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
criteria:012-유아기-F,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 유아기 여자: 48~53개월 1등급 14.3cm, 2등급 12.5cm, 3등급 10.0cm / 54~59개월 1등급 14.3cm, 2등급 12.7cm, 3등급 10.0cm / 60~65개월 1등급 14.0cm, 2등급 12.3cm, 3등급 9.9cm / 66~71개월 1등급 15.0cm, 2등급 12.2cm, 3등급 10.0cm / 72~83개월 1등급 15.0cm, 2등급 12.7cm, 3등급 10.0cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
criteria:012-유아기-M,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 유아기 남자: 48~53개월 1등급 13.0cm, 2등급 10.7cm, 3등급 8.2cm / 54~59개월 1등급 13.0cm, 2등급 10.5cm, 3등급 7.8cm / 60~65개월 1등급 12.0cm, 2등급 10.1cm, 3등급 7.0cm / 66~71개월 1등급 13.0cm, 2등급 10.0cm, 3등급 7.0cm / 72~83개월 1등급 12.5cm, 2등급 10.5cm, 3등급 8.0cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
criteria:012-청소년-F,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 청소년 여자: 13~13세 1등급 16.6cm, 2등급 12.0cm, 3등급 7.4cm / 14~14세 1등급 18.2cm, 2등급 13.4cm, 3등급 8.6cm / 15~15세 1등급 19.1cm, 2등급 14.3cm, 3등급 9.5cm / 16~16세 1등급 18.9cm, 2등급 13.7cm, 3등급 8.5cm / 17~17세 1등급 18.9cm, 2등급 13.5cm, 3등급 8.1cm / 18~18세 1등급 19.5cm, 2등급 14.1cm, 3등급 8.7cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
criteria:012-청소년-M,criteria,"국민체력100 인증 기준 · 앉아윗몸앞으로굽히기(cm) · 청소년 남자: 13~13세 1등급 9.6cm, 2등급 5.3cm, 3등급 1.0cm / 14~14세 1등급 10.9cm, 2등급 6.5cm, 3등급 2.1cm / 15~15세 1등급 11.9cm, 2등급 6.9cm, 3등급 1.9cm / 16~16세 1등급 13.8cm, 2등급 8.9cm, 3등급 4.0cm / 17~17세 1등급 14.0cm, 2등급 9.0cm, 3등급 4.0cm / 18~18세 1등급 14.8cm, 2등급 9.7cm, 3등급 4.6cm",국민체력100 인증 기준 · 앉아윗몸앞으로굽히기,,,유연성,
criteria:013-청소년-F,criteria,"국민체력100 인증 기준 · 일리노이(초) · 청소년 여자: 13~13세 1등급 21.3초, 2등급 22.6초 / 14~14세 1등급 21.3초, 2등급 22.8초 / 15~15세 1등급 21.4초, 2등급 22.7초 / 16~16세 1등급 21.1초, 2등급 22.6초 / 17~17세 1등급 21.0초, 2등급 22.6초 / 18~18세 1등급 20.1초, 2등급 21.7초",국민체력100 인증 기준 · 일리노이,,,민첩성,
criteria:013-청소년-M,criteria,"국민체력100 인증 기준 · 일리노이(초) · 청소년 남자: 13~13세 1등급 19.1초, 2등급 20.3초 / 14~14세 1등급 18.7초, 2등급 19.9초 / 15~15세 1등급 19.0초, 2등급 20.3초 / 16~16세 1등급 18.7초, 2등급 20.1초 / 17~17세 1등급 18.3초, 2등급 19.7초 / 18~18세 1등급 18.0초, 2등급 19.6초",국민체력100 인증 기준 · 일리노이,,,민첩성,
criteria:014-청소년-F,criteria,"국민체력100 인증 기준 · 체공시간(초) · 청소년 여자: 13~13세 1등급 0.464초, 2등급 0.43초 / 14~14세 1등급 0.474초, 2등급 0.439초 / 15~15세 1등급 0.474초, 2등급 0.439초 / 16~16세 1등급 0.469초, 2등급 0.432초 / 17~17세 1등급 0.481초, 2등급 0.438초 / 18~18세 1등급 0.506초, 2등급 0.463초",국민체력100 인증 기준 · 체공시간,,,순발력,
criteria:014-청소년-M,criteria,"국민체력100 인증 기준 · 체공시간(초) · 청소년 남자: 13~13세 1등급 0.526초, 2등급 0.489초 / 14~14세 1등급 0.555초, 2등급 0.518초 / 15~15세 1등급 0.574초, 2등급 0.533초 / 16~16세 1등급 0.569초, 2등급 0.53초 / 17~17세 1등급 0.582초, 2등급 0.543초 / 18~18세 1등급 0.61초, 2등급 0.565초",국민체력100 인증 기준 · 체공시간,,,순발력,
criteria:017-청소년-F,criteria,"국민체력100 인증 기준 · 눈-손협응력(초) · 청소년 여자: 13~13세 1등급 55.5초, 2등급 60.5초 / 14~14세 1등급 53.6초, 2등급 57.9초 / 15~15세 1등급 52.3초, 2등급 56.8초 / 16~16세 1등급 54.0초, 2등급 58.8초 / 17~17세 1등급 53.5초, 2등급 58.3초 / 18~18세 1등급 52.5초, 2등급 56.5초",국민체력100 인증 기준 · 눈-손협응력,,,협응력,
criteria:017-청소년-M,criteria,"국민체력100 인증 기준 · 눈-손협응력(초) · 청소년 남자: 13~13세 1등급 53.9초, 2등급 58.2초 / 14~14세 1등급 51.0초, 2등급 55.1초 / 15~15세 1등급 50.2초, 2등급 53.9초 / 16~16세 1등급 47.8초, 2등급 51.7초 / 17~17세 1등급 47.3초, 2등급 51.1초 / 18~18세 1등급 47.0초, 2등급 50.7초",국민체력100 인증 기준 · 눈-손협응력,,,협응력,
criteria:019-성인-F,criteria,"국민체력100 인증 기준 · 교차윗몸일으키기(회) · 성인 여자: 19~24세 1등급 36.0회, 2등급 30.0회, 3등급 23.0회 / 25~29세 1등급 33.0회, 2등급 27.0회, 3등급 21.0회 / 30~34세 1등급 31.0회, 2등급 25.0회, 3등급 19.0회 / 35~39세 1등급 31.0회, 2등급 25.0회, 3등급 19.0회 / 40~44세 1등급 30.0회, 2등급 25.0회, 3등급 19.0회 / 45~49세 1등급 28.0회, 2등급 22.0회, 3등급 16.0회 / 50~54세 1등급 24.0회, 2등급 19.0회, 3등급 13.0회 / 55~59세 1등급 20.0회, 2등급 15.0회, 3등급 9.0회 / 60~64세 1등급 17.0회, 2등급 12.0회, 3등급 7.0회",국민체력100 인증 기준 · 교차윗몸일으키기,,,근지구력,
criteria:019-성인-M,criteria,"국민체력100 인증 기준 · 교차윗몸일으키기(회) · 성인 남자: 19~24세 1등급 55.0회, 2등급 48.0회, 3등급 42.0회 / 25~29세 1등급 51.0회, 2등급 45.0회, 3등급 38.0회 / 30~34세 1등급 47.0회, 2등급 41.0회, 3등급 35.0회 / 35~39세 1등급 45.0회, 2등급 39.0회, 3등급 33.0회 / 40~44세 1등급 44.0회, 2등급 38.0회, 3등급 32.0회 / 45~49세 1등급 41.0회, 2등급 36.0회, 3등급 30.0회 / 50~54세 1등급 38.0회, 2등급 32.0회, 3등급 26.0회 / 55~59세 1등급 35.0회, 2등급 29.0회, 3등급 23.0회 / 60~64세 1등급 31.0회, 2등급 25.0회, 3등급 19.0회",국민체력100 인증 기준 · 교차윗몸일으키기,,,근지구력,
