video_id,seq,name_on_video,phase_on_video,start_sec,end_sec,duration_sec
EH3Qsum6RgM,3,흔들기를 해요,본운동,304,384,80
EH3Qsum6RgM,4,돌기를 해요,본운동,384,464,80
EH3Qsum6RgM,5,거꾸로 균형을 잡아요,본운동,466,544,78
EH3Qsum6RgM,6,구르기를 해요,본운동,546,584,38
Eg3GpTv7z8s,1,옆으로 누워 발 뒤로 넘기기,준비운동,102,140,38
Eg3GpTv7z8s,2,넙다리 안쪽 늘리기 (나비자세),준비운동,144,182,38
Eg3GpTv7z8s,3,척추 들어올리기 (고양이자세),준비운동,188,226,38
Eg3GpTv7z8s,4,엎드려 어깨 눌러주기 (아기자세),준비운동,230,270,40
Eg3GpTv7z8s,5,누워서 무릎 구부려 당기기,준비운동,278,324,46
Eg3GpTv7z8s,6,다리 뻗어 상체 숙이기,준비운동,330,382,52
Eg3GpTv7z8s,7,상체숙여 발목 잡기,준비운동,390,454,64
Eg3GpTv7z8s,8,책상에서 팔굽혀펴기,본운동,460,498,38
Eg3GpTv7z8s,9,앉아서 상체숙여 양팔 등 뒤로 펴기,본운동,500,534,34
Eg3GpTv7z8s,10,손 뒤에서 깍지 끼고 가슴펴기,본운동,536,588,52
Eg3GpTv7z8s,11,의자 잡고 팔굽혀 버티기,본운동,592,612,20
Eg3GpTv7z8s,12,팔꿈치 등 뒤에서 굽히고 펴기,본운동,614,648,34
Eg3GpTv7z8s,13,손목 잡고 팔 스트레칭,본운동,650,724,74
Eg3GpTv7z8s,14,책상에서 팔굽혀펴기,본운동,730,766,36
Eg3GpTv7z8s,15,앉아서 상체숙여 양팔 등 뒤로 펴기,본운동,768,802,34
Eg3GpTv7z8s,16,손 뒤에서 깍지 끼고 가슴펴기,본운동,806,858,52
Eg3GpTv7z8s,17,의자 잡고 팔굽혀 버티기,본운동,862,884,22
Eg3GpTv7z8s,18,팔꿈치 등 뒤에서 굽히고 펴기,본운동,886,920,34
Eg3GpTv7z8s,19,손목 잡고 팔 스트레칭,본운동,924,1004,80
