age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,grade3_from_p25,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,19,24,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,9155,9155,ecdf,0,35.6,42.0,44.8,47.6,54.4,20.5,66.8,21.34,48.29,70.35,86.56,95.52,64.75
성인,19,24,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,18356,18356,ecdf,0,36.1,42.0,44.8,47.6,53.6,16.3,59.9,24.65,50.67,70.61,87.17,95.57,65.86
성인,19,24,세,M,민첩성,040,반응시간,초,1,ok,35404,35404,ecdf,1,-0.485,-0.372,-0.33,-0.301,-0.257,0.13,1.999,14.2,40.0,55.62,75.17,90.96,54.86
성인,19,24,세,M,순발력,041,성인체공시간,초,0,ok,21465,21465,ecdf,1,0.439,0.537,0.568,0.605,0.696,0.001,0.999,13.99,40.0,64.76,84.45,94.36,59.33
성인,19,24,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,37876,37876,ecdf,0,-5.9,10.1,14.9,19.7,29.9,-30.0,39.0,19.49,46.18,69.17,86.78,95.36,63.78
성인,19,24,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,37878,37878,ecdf,0,2.0,23.0,30.0,36.0,52.0,0.0,79.0,10.12,28.34,54.07,80.0,93.61,53.76
성인,19,24,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,11485,11485,ecdf,0,7.0,19.0,25.0,30.0,44.0,0.0,124.0,10.94,32.97,54.09,80.0,93.37,54.91
성인,19,24,세,F,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,8043,0,,,,,,,,9.26,46.88,,,,,,
성인,19,24,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,22259,22259,ecdf,1,110.0,145.0,149.0,162.0,204.0,0.0,260.0,13.96,40.0,76.57,89.91,96.43,65.79
성인,19,24,세,F,근력,028,상대악력,%,0,ok,38571,38571,ecdf,0,33.6,38.0,42.4,46.8,66.7,0.0,191.8,46.96,68.15,84.52,92.66,97.45,77.3
성인,19,24,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,7070,7070,ecdf,0,31.7,32.8,34.8,36.8,44.862,20.1,62.0,62.47,80.65,87.53,94.08,97.88,82.74
성인,19,24,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,19956,19956,ecdf,0,31.1,32.8,34.8,36.8,43.2,15.9,50.6,50.45,69.24,84.23,92.21,97.37,77.9
성인,19,24,세,F,민첩성,040,반응시간,초,1,ok,29799,29799,ecdf,1,-0.528,-0.404,-0.374,-0.332,-0.273,0.051,1.999,13.97,40.0,63.78,79.55,92.93,58.37
