age_group,sex,age,grade,n,ratio
성인,F,58,1등급,150,0.0739
성인,F,58,2등급,310,0.1527
성인,F,58,3등급,371,0.1828
성인,F,58,참가,425,0.2094
성인,F,59,1등급,128,0.066
성인,F,59,2등급,285,0.1471
성인,F,59,3등급,360,0.1858
성인,F,59,참가,422,0.2178
성인,F,60,1등급,207,0.0861
성인,F,60,2등급,353,0.1469
성인,F,60,3등급,454,0.1889
성인,F,60,참가,474,0.1973
성인,F,61,1등급,186,0.0858
성인,F,61,2등급,315,0.1453
성인,F,61,3등급,413,0.1905
성인,F,61,참가,471,0.2173
성인,F,62,1등급,134,0.0682
성인,F,62,2등급,273,0.139
성인,F,62,3등급,364,0.1853
성인,F,62,참가,461,0.2347
성인,F,63,1등급,151,0.0754
성인,F,63,2등급,260,0.1298
성인,F,63,3등급,348,0.1737
성인,F,63,참가,436,0.2177
성인,F,64,1등급,134,0.0617
성인,F,64,2등급,297,0.1367
성인,F,64,3등급,354,0.163
성인,F,64,참가,513,0.2362
성인,M,19,1등급,1037,0.044
성인,M,19,2등급,2835,0.1204
성인,M,19,3등급,4955,0.2104
성인,M,19,참가,6783,0.288
성인,M,20,1등급,531,0.0392
성인,M,20,2등급,1693,0.1249
성인,M,20,3등급,2938,0.2167
성인,M,20,참가,3472,0.2561
성인,M,21,1등급,294,0.039
성인,M,21,2등급,878,0.1165
성인,M,21,3등급,1585,0.2104
성인,M,21,참가,1853,0.2459
성인,M,22,1등급,227,0.0372
성인,M,22,2등급,702,0.115
성인,M,22,3등급,1285,0.2105
성인,M,22,참가,1610,0.2638
성인,M,23,1등급,184,0.0383
성인,M,23,2등급,545,0.1134
성인,M,23,3등급,999,0.2079
성인,M,23,참가,1463,0.3044
성인,M,24,1등급,161,0.031
성인,M,24,2등급,581,0.1119
성인,M,24,3등급,1126,0.2168
성인,M,24,참가,1540,0.2966
성인,M,25,1등급,269,0.0512
성인,M,25,2등급,724,0.1377
성인,M,25,3등급,1228,0.2335
성인,M,25,참가,1285,0.2444
성인,M,26,1등급,270,0.0554
성인,M,26,2등급,669,0.1371
성인,M,26,3등급,1134,0.2325
성인,M,26,참가,1109,0.2273
성인,M,27,1등급,255,0.0507
성인,M,27,2등급,700,0.1391
성인,M,27,3등급,1109,0.2204
성인,M,27,참가,1188,0.2361
성인,M,28,1등급,283,0.0565
성인,M,28,2등급,760,0.1518
성인,M,28,3등급,1106,0.2209
성인,M,28,참가,1062,0.2121
성인,M,29,1등급,235,0.0449
성인,M,29,2등급,735,0.1405
성인,M,29,3등급,1182,0.226
성인,M,29,참가,1161,0.2219
성인,M,30,1등급,398,0.0779
성인,M,30,2등급,919,0.18
성인,M,30,3등급,1059,0.2074
성인,M,30,참가,1041,0.2039
성인,M,31,1등급,391,0.0782
성인,M,31,2등급,853,0.1706
성인,M,31,3등급,1030,0.206
성인,M,31,참가,947,0.1894
성인,M,32,1등급,373,0.0775
성인,M,32,2등급,800,0.1661
성인,M,32,3등급,998,0.2073
성인,M,32,참가,931,0.1934
성인,M,33,1등급,336,0.0767
